,Judul,Isi KOnten
0,"RK Jadi Capres Alternatif Populer, Pengamat: Sinyal untuk Golkar",Ridwan Kamil jadi capres alternatif berdasarkan hasil survei Litbang Kompas. Ini jadi sinyal bagi Partai Golkar untuk memaksimalkan potensinya.
1,Duduk Perkara Dihancurkannya Rumah Singgah Bung Karno di Padang,Rumah Singgah Bung Karno di Padang dihancurkan oleh pemiliknya. Ternyata si pemilik mengaku tak tahu bangunan itu adalah cagar budaya.
2,Jabar Hari Ini: Hukuman Lebih Berat untuk Doni Salmanan,"Ragam peristiwa terjadi di Jabar hari ini, Rabu (22/2/2023). Dari mulai aset Doni Salmanan yang disita negara hingga duit gepokan 'pelicin' proyek di Cianjur."
3,"Indonesia Fashion Week 2023 Dimeriahkan 200 Desainer, Angkat Kain Gorontalo",Indonesia Fashion Week 2023 digelar mulai dari tanggal 22 Februari hingga 26 Februari 2023 di JCC. IFW kali ini mengangkat wasta dan keindahan alam Gorontalo
4,"Duet Anies-Sandi Mencuat di Survei Voxpol, PKS: Siapa Saja Berpeluang","Voxpol Center Research and Consulting melakukan simulasi Pilpres 2024 tiga pasangan dengan duet Anies-Sandi mendapat angka tertinggi yakni 33,8%."
5,"Survei Capres POLSTAT: Prabowo 33%, Ganjar 20,6%, Anies 19,4%","Elektabilitas Ketum Gerindra Prabowo Subianto unggul dari dua calon kuat lainnya, Ganjar Pranowo dan Anies Baswedan, berdasarkan hasil survei terbaru POLSTAT."
6,"Hasil Musra Relawan Jokowi di Sultra: Airlangga Tertinggi, Disusul Prabowo",Musra Relawan Jokowi di Sultra telah selesai digelar. Ketua Umum Golkar Airlangga unggul dala pemilihan calon presiden harapan rakyat.
7,Kabar Terkini Bocah Kembar Prabowo-Sandiaga yang Sempat Bikin Heboh,Anak kembar dari pasangan Dede Wahyudin dan Elis Nurlatifah sempat bikin heboh saat mereka menamai Prabowo dan Sandiaga. Lantas bagaimana kabar bocah itu?
8,7 Mitos Seram Gunung Kerinci TKP Jatuhnya Heli Kapolda Jambi,"Mitos-mitos Gunung Kerinci, tempat jatuhnya helikopter Kapolda Jambi Irjen Rusdi Hartono dan cerita bangkrutnya maskapai besutan Sandiaga Uno menjadi perhatian."
9,"Duet Anies-Sandi Mencuat di Survei Voxpol, PKS: Siapa Saja Berpeluang","Voxpol Center Research and Consulting melakukan simulasi Pilpres 2024 tiga pasangan dengan duet Anies-Sandi mendapat angka tertinggi yakni 33,8%."
10,"Survei Capres POLSTAT: Prabowo 33%, Ganjar 20,6%, Anies 19,4%","Elektabilitas Ketum Gerindra Prabowo Subianto unggul dari dua calon kuat lainnya, Ganjar Pranowo dan Anies Baswedan, berdasarkan hasil survei terbaru POLSTAT."
11,"Hasil Musra Relawan Jokowi di Sultra: Airlangga Tertinggi, Disusul Prabowo",Musra Relawan Jokowi di Sultra telah selesai digelar. Ketua Umum Golkar Airlangga unggul dala pemilihan calon presiden harapan rakyat.
12,Survei Litbang Kompas: Ridwan Kamil Dominan di Figur Capres Alternatif,Gubernur Jawa Barat Ridwan Kamil unggul dominan di survei figur capres alternatif.
13,"Rumah Singgah Bung Karno di Padang Rata dengan Tanah, Utut Akan Lapor Mega",Rumah singgah Bung Karno di Padang Sumatera Barat dihancurkan pemilknya. Ketua Fraksi PDIP DPR RI Utut Adianto akan melaporkan hal ini ke Megawati.
14,Penegasan Sandi Patuh Arahan Pimpinan Saat Isu Gabung PPP Nyala Lagi,Isu Wakil Dewan Pembina Partai Gerindra Sandiaga Uno bergabung dengan PPP kembali terdengar. Sandi memberikan penegasan dirinya mengikuti arahan pimpinan.
15,Isu Sandiaga Uno Gabung PPP Belum Sirna,Isu Sandiaga Uno bakal merapat ke PPP belum sirna seiring asa Plt Ketua Umum (Ketum) PPP Mardiono masih ada. Begini respons teranyar Sandiaga.
16,Sambutan Hangat Demokrat Usai Jokowi Sebut AHY Capres-cawapres 2024,Demokrat menyambut sikap Jokowi yang menyebut nama AHY saat bicara daftar capres-cawapres 2024. Demokrat mengatakan pernyataan itu sebagai bentuk pengakuan.
17,"Di Acara Gerindra, Sandi Akan Lapor Prabowo soal Beban Ekonomi Rakyat",Sandiaga akan melaporkan aspirasi terkait ekonomi warga di Banten kepada Ketua Umum Partai Gerindra Prabowo Subianto.
18,House of TikTokers by DCT Agency Resmikan Kantor Pusat di BSD City,Sinar Mas Land melalui Digital Hub menyambut baik kehadiran kantor pusat DCT Agency yang dinamakan dengan House of TikTokers berlokasi di Digital Loft BSD City.
19,Rangkaian Program GoTo untuk Wujudkan Digitalisasi UMKM di Indonesia,GoTo berkomitmen menjadi andalan mitra usaha di berbagai daerah untuk mengembangkan usahanya.
20,"Bersama Kemenparakraf, GoTo Digitalisasi UMKM-Masifkan Lapangan Kerja",Shinto menjelaskan kerja sama GoTo dan Kemenparekraf sekaligus menjadi salah satu bentuk nyata kemitraan yang konkret dan berkelanjutan.
21,Sandiaga Uno Harap Game Lokal Ikuti Jejak PUBG Mobile,"PMGC 2022 digelar di Jakarta. Menteri Pariwisata dan Ekonomi Kreatif, Sandiaga Uno, mengungkapkan kalau ini menjadi potensi kembangkan industri game."
22,"Aminah Cendrakasih Meninggal Dunia, Netizen Kehilangan Sosok Mak Nyak",Artis senior Aminah Cendrakasih meninggal dunia pada Rabu (21/12/2022). Netizen di Tanah Air kehilangan sosok Mak Nyak di sinetron dan film Si Doel.
23,"Dukung BKSS, Tokopedia Raih Penghargaan Top Brand dari Kemenparekraf",Penghargaan tersebut diraih karena Tokopedia mendukung program Beli Kreatif Sumatera Selatan (BKSS).
24,Sandiaga Uno Main YouTube: 2 Tahun Subscriber Saya Nggak Naik-naik,"Menteri Pariwisata dan Ekonomi Kreatif Sandiaga Uno menceritakan hobinya buat konten di YouTube. Tapi katanya, subscribernya belum naik-naik nih, detikers."
25,Sandiaga Kepincut Teknologi Metaverse untuk Promo Wisata RI,Kecanggihan teknologi metaverse membuat Menparekraf Sandiaga Uno terkesima. Ia ingin memperkenalkan wisata Indonesia ke mata dunia menggunakan metaverse.
26,"Usai KTT G20, Bali akan Diramaikan Kejuaraan Dunia Esports",Menparekraf mengungkapkan Bali tak akan mendadak sepi usai G20. Sandiaga menyebutkan akan ada Kejuaraan Dunia Esport yang akan berlangsung di Pulau Dewata.
